time,flow
0,15.003378244
86400,15.003378244
86400.1,13.7489054396
172800,13.7489054396
172800.1,20.5063062143
259200,20.5063062143
259200.1,15.2177021329
345600,15.2177021329
345600.1,16.9453507412
432000,16.9453507412
432000.1,23.6736931999
518400,23.6736931999
518400.1,29.6330413307
604800,29.6330413307
604800.1,38.4330871269
691200,38.4330871269
691200.1,55.1793360024
777600,55.1793360024
777600.1,28.4582609196
864000,28.4582609196
864000.1,51.1403324892
950400,51.1403324892
950400.1,56.9755091762
1036800,56.9755091762
1036800.1,22.9321897954
1123200,22.9321897954
1123200.1,14.6798134522
1209600,14.6798134522
1209600.1,17.005397555
1296000,17.005397555
1296000.1,53.482320441
1382400,53.482320441
1382400.1,30.163064113
1468800,30.163064113
1468800.1,15.2144760207
1555200,15.2144760207
1555200.1,30.8232656309
1641600,30.8232656309
1641600.1,44.5024525395
1728000,44.5024525395
1728000.1,44.3907170176
1814400,44.3907170176
1814400.1,12.9784445859
1900800,12.9784445859
1900800.1,11.2438431506
1987200,11.2438431506
1987200.1,13.3076875004
2073600,13.3076875004
2073600.1,17.8413220273
2160000,17.8413220273
2160000.1,12.2456329154
2246400,12.2456329154
2246400.1,0.0312308357
2332800,0.0312308357
2332800.1,0
2419200,0
2419200.1,0
2505600,0
2505600.1,0.0396210805
2592000,0.0396210805
2592000.1,14.5580073226
2678400,14.5580073226
2678400.1,26.1191132403
2764800,26.1191132403
2764800.1,14.3517086336
2851200,14.3517086336
2851200.1,2.0209024536
2937600,2.0209024536
2937600.1,8.1040075716
3024000,8.1040075716
3024000.1,18.0720306181
3110400,18.0720306181
3110400.1,29.2383518832
3196800,29.2383518832
3196800.1,32.4087219365
3283200,32.4087219365
3283200.1,13.0828237342
3369600,13.0828237342
3369600.1,18.2710251829
3456000,18.2710251829
3456000.1,8.9811042039
3542400,8.9811042039
3542400.1,6.1838726655
3628800,6.1838726655
3628800.1,11.7794582409
3715200,11.7794582409
3715200.1,31.2136481417
3801600,31.2136481417
3801600.1,32.9534674553
3888000,32.9534674553
3888000.1,12.5607704074
3974400,12.5607704074
3974400.1,4.441979093
4060800,4.441979093
4060800.1,27.8987080159
4147200,27.8987080159
4147200.1,39.3707296
4233600,39.3707296
4233600.1,24.7552267049
4320000,24.7552267049
4320000.1,5.3446757921
4406400,5.3446757921
4406400.1,27.0070474041
4492800,27.0070474041
4492800.1,41.3440080428
4579200,41.3440080428
4579200.1,22.129614585
4665600,22.129614585
4665600.1,28.5788257504
4752000,28.5788257504
4752000.1,13.002227263
4838400,13.002227263
4838400.1,21.255068674
4924800,21.255068674
4924800.1,14.8086140343
5011200,14.8086140343
5011200.1,12.614439216
5097600,12.614439216
5097600.1,37.1400951595
5184000,37.1400951595
5184000.1,20.9448470689
5270400,20.9448470689
5270400.1,12.3414572148
5356800,12.3414572148
5356800.1,39.0348287249
5443200,39.0348287249
5443200.1,37.7692741843
5529600,37.7692741843
5529600.1,23.3798279328
5616000,23.3798279328
5616000.1,41.0534342922
5702400,41.0534342922
5702400.1,44.0619834219
5788800,44.0619834219
5788800.1,36.3000592947
5875200,36.3000592947
5875200.1,17.9095366011
5961600,17.9095366011
5961600.1,22.5796228841
6048000,22.5796228841
6048000.1,34.3057630555
6134400,34.3057630555
6134400.1,49.2229220721
6220800,49.2229220721
6220800.1,43.7077012792
6307200,43.7077012792
6307200.1,50.1578755276
6393600,50.1578755276
6393600.1,50.5058873089
6480000,50.5058873089
6480000.1,50.2336667428
6566400,50.2336667428
6566400.1,29.9081081027
6652800,29.9081081027
6652800.1,12.5626331496
6739200,12.5626331496
6739200.1,21.7469965335
6825600,21.7469965335
6825600.1,17.8007929396
6912000,17.8007929396
6912000.1,37.6584442271
6998400,37.6584442271
6998400.1,14.2986019764
7084800,14.2986019764
7084800.1,25.469320309
7171200,25.469320309
7171200.1,32.413631599
7257600,32.413631599
7257600.1,28.9902460924
7344000,28.9902460924
7344000.1,49.6120334657
7430400,49.6120334657
7430400.1,45.1896747748
7516800,45.1896747748
7516800.1,48.096747424
7603200,48.096747424
7603200.1,49.0393314088
7689600,49.0393314088
7689600.1,48.6297185915
7776000,48.6297185915
7776000.1,20.7482888106
7862400,20.7482888106
7862400.1,20.4228611662
7948800,20.4228611662
7948800.1,21.9442254181
8035200,21.9442254181
8035200.1,20.3770573151
8121600,20.3770573151
8121600.1,13.7923958587
8208000,13.7923958587
8208000.1,31.4634327212
8294400,31.4634327212
8294400.1,39.1706969387
8380800,39.1706969387
8380800.1,39.725960973
8467200,39.725960973
8467200.1,38.8155131169
8553600,38.8155131169
8553600.1,39.904912861
8640000,39.904912861
8640000.1,38.0844135353
8726400,38.0844135353
8726400.1,30.7607211075
8812800,30.7607211075
8812800.1,21.9881726411
8899200,21.9881726411
8899200.1,21.4253863904
8985600,21.4253863904
8985600.1,25.4864304147
9072000,25.4864304147
9072000.1,48.0644074099
9158400,48.0644074099
9158400.1,50.0428985536
9244800,50.0428985536
9244800.1,50.0627738519
9331200,50.0627738519
9331200.1,20.7955338699
9417600,20.7955338699
9417600.1,22.9647544186
9504000,22.9647544186
9504000.1,13.7779248229
9590400,13.7779248229
9590400.1,34.2933985786
9676800,34.2933985786
9676800.1,52.8823001701
9763200,52.8823001701
9763200.1,53.1081708172
9849600,53.1081708172
9849600.1,35.0085167562
9936000,35.0085167562
9936000.1,19.3662241993
10022400,19.3662241993
10022400.1,18.9790411865
10108800,18.9790411865
10108800.1,22.6888223795
10195200,22.6888223795
10195200.1,25.0389959935
10281600,25.0389959935
10281600.1,15.0550725919
10368000,15.0550725919
10368000.1,32.6901478683
10454400,32.6901478683
10454400.1,37.4732525451
10540800,37.4732525451
10540800.1,37.525461316
10627200,37.525461316
10627200.1,36.6819987453
10713600,36.6819987453
10713600.1,32.587455351
10800000,32.587455351
10800000.1,2.0387065447
10886400,2.0387065447
10886400.1,40.3289445601
10972800,40.3289445601
10972800.1,53.6533361724
11059200,53.6533361724
11059200.1,53.5588159391
11145600,53.5588159391
11145600.1,54.2503611651
11232000,54.2503611651
11232000.1,57.1853829502
11318400,57.1853829502
11318400.1,55.6178999595
11404800,55.6178999595
11404800.1,20.0895491629
11491200,20.0895491629
11491200.1,17.806850496
11577600,17.806850496
11577600.1,46.3830480352
11664000,46.3830480352
11664000.1,51.5101779802
11750400,51.5101779802
11750400.1,52.7063620296
11836800,52.7063620296
11836800.1,51.0760884779
11923200,51.0760884779
11923200.1,21.1844796973
12009600,21.1844796973
12009600.1,19.5016343967
12096000,19.5016343967
12096000.1,16.9711446713
12182400,16.9711446713
12182400.1,17.0256390049
12268800,17.0256390049
12268800.1,16.9717970286
12355200,16.9717970286
12355200.1,16.990608103
12441600,16.990608103
12441600.1,15.0798355301
12528000,15.0798355301
12528000.1,15.5105
12528600,15.5105
12528600.1,15.5105
12529200,15.5105
12529200.1,15.5105
12529800,15.5105
12529800.1,15.5105
12530400,15.5105
12530400.1,15.5105
12531000,15.5105
12531000.1,15.5105
12531600,15.5105
12531600.1,15.5105
12532200,15.5105
12532200.1,15.5105
12532800,15.5105
12532800.1,9.2540659167
12533400,9.2540659167
12533400.1,13.2314
12534000,13.2314
12534000.1,13.2327166667
12534600,13.2327166667
12534600.1,13.2319266667
12535200,13.2319266667
12535200.1,13.23219
12535800,13.23219
12535800.1,13.23219
12536400,13.23219
12536400.1,13.2314
12537000,13.2314
12537000.1,13.2319266667
12537600,13.2319266667
12537600.1,13.2324533333
12538200,13.2324533333
12538200.1,13.2319266667
12538800,13.2319266667
12538800.1,13.2319266667
12539400,13.2319266667
12539400.1,13.2319266667
12540000,13.2319266667
12540000.1,13.2324533333
12540600,13.2324533333
12540600.1,13.2316633333
12541200,13.2316633333
12541200.1,13.2316633333
12541800,13.2316633333
12541800.1,13.2332433333
12542400,13.2332433333
12542400.1,13.2319266667
12543000,13.2319266667
12543000.1,13.2327166667
12543600,13.2327166667
12543600.1,13.23219
12544200,13.23219
12544200.1,13.2324533333
12544800,13.2324533333
12544800.1,13.2319266667
12545400,13.2319266667
12545400.1,13.2319266667
12546000,13.2319266667
12546000.1,13.2327166667
12546600,13.2327166667
12546600.1,13.2316633333
12547200,13.2316633333
12547200.1,13.23219
12547800,13.23219
12547800.1,13.2327166667
12548400,13.2327166667
12548400.1,13.2319266667
12549000,13.2319266667
12549000.1,13.2314
12549600,13.2314
12549600.1,13.23219
12550200,13.23219
12550200.1,13.2319266667
12550800,13.2319266667
12550800.1,13.2316633333
12551400,13.2316633333
12551400.1,13.2319266667
12552000,13.2319266667
12552000.1,13.2324533333
12552600,13.2324533333
12552600.1,13.2319266667
12553200,13.2319266667
12553200.1,13.23219
12553800,13.23219
12553800.1,13.2319266667
12554400,13.2319266667
12554400.1,13.2314
12555000,13.2314
12555000.1,13.2324533333
12555600,13.2324533333
12555600.1,13.2327166667
12556200,13.2327166667
12556200.1,14.6042458333
12556800,14.6042458333
12556800.1,17.38372725
12557400,17.38372725
12557400.1,17.8094739167
12558000,17.8094739167
12558000.1,18.3073655417
12558600,18.3073655417
12558600.1,18.4579833333
12559200,18.4579833333
12559200.1,18.4598300833
12559800,18.4598300833
12559800.1,18.4603576667
12560400,18.4603576667
12560400.1,18.4587751667
12561000,18.4587751667
12561000.1,18.4639192083
12561600,18.4639192083
12561600.1,18.4610172083
12562200,18.4610172083
12562200.1,18.45956625
12562800,18.45956625
12562800.1,18.4637874167
12563400,18.4637874167
12563400.1,18.46114875
12564000,18.46114875
12564000.1,18.4618088333
12564600,18.4618088333
12564600.1,18.4658969583
12565200,18.4658969583
12565200.1,18.490953
12565800,18.490953
12565800.1,18.4904254167
12566400,18.4904254167
12566400.1,18.4886936957
12566632,18.4886936957
12566632.1,18.4876991667
12566812,18.4876991667
12566812.1,18.4894577778
12566992,18.4894577778
12566992.1,18.4912170833
12567172,18.4912170833
12567172.1,18.4920965278
12567352,18.4920965278
12567352.1,18.4986890278
12567532,18.4986890278
12567532.1,18.5263844444
12567712,18.5263844444
12567712.1,18.5219872222
12567892,18.5219872222
12567892.1,18.5215475
12568072,18.5215475
12568072.1,18.5215472222
12568252,18.5215472222
12568252.1,18.5272630556
12568432,18.5272630556
12568432.1,18.5255044444
12568612,18.5255044444
12568612.1,18.5224272222
12568792,18.5224272222
12568792.1,18.5215472222
12568972,18.5215472222
12568972.1,18.5237458333
12569152,18.5237458333
12569152.1,32.3327954167
12569332,32.3327954167
12569332.1,39.6175761111
12569512,39.6175761111
12569512.1,39.6162566667
12569692,39.6162566667
12569692.1,30.6652333333
12569872,30.6652333333
12569872.1,21.4328358333
12570052,21.4328358333
12570052.1,21.2090594444
12570232,21.2090594444
12570232.1,21.2073008333
12570412,21.2073008333
12570412.1,28.4261625
12570592,28.4261625
12570592.1,43.8609927778
12570772,43.8609927778
12570772.1,43.8565941667
12570952,43.8565941667
12570952.1,43.8588813182
12576450,43.8588813182
